icc,ci_lo,ci_hi,icc3_consistency,icc3_ci_lo,icc3_ci_hi,paradigm,feature_name,stratum
0.8712634606533083,0.82,0.91,0.9177434564471545,0.91,0.93,radiomics-3d,original_glszm_GrayLevelNonUniformity,good
0.9034965649890644,0.88,0.92,0.9167605013600552,0.9,0.93,radiomics-3d,original_glszm_GrayLevelNonUniformityNormalized,excellent
0.9310351632382763,0.92,0.94,0.939230304866085,0.93,0.95,radiomics-3d,original_glszm_GrayLevelVariance,excellent
0.9417054798531154,0.93,0.95,0.9467360286330916,0.94,0.95,radiomics-3d,original_glszm_HighGrayLevelZoneEmphasis,excellent
0.9229396112747662,0.91,0.93,0.927029083504124,0.92,0.94,radiomics-3d,original_glszm_LargeAreaEmphasis,excellent
0.454477126828074,0.41,0.5,0.457541808361085,0.42,0.5,radiomics-3d,original_glszm_LargeAreaHighGrayLevelEmphasis,poor
0.9274567054909139,0.92,0.94,0.9275677803032593,0.92,0.94,radiomics-3d,original_glszm_LargeAreaLowGrayLevelEmphasis,excellent
0.8309594336560667,0.8,0.86,0.8452968508911218,0.82,0.87,radiomics-3d,original_glszm_LowGrayLevelZoneEmphasis,good
0.8577689761525915,0.81,0.89,0.8937813562043273,0.88,0.91,radiomics-3d,original_glszm_SizeZoneNonUniformity,good
0.868476018593451,0.85,0.89,0.8686480116742383,0.85,0.89,radiomics-3d,original_glszm_SizeZoneNonUniformityNormalized,good
0.8590199158356101,0.84,0.88,0.86291005886366,0.84,0.88,radiomics-3d,original_glszm_SmallAreaEmphasis,good
0.9515746469668148,0.94,0.96,0.955503962900568,0.95,0.96,radiomics-3d,original_glszm_SmallAreaHighGrayLevelEmphasis,excellent
0.7386425230328624,0.71,0.77,0.7459886532688051,0.72,0.78,radiomics-3d,original_glszm_SmallAreaLowGrayLevelEmphasis,moderate
0.8988796680887324,0.83,0.93,0.9509573559660002,0.94,0.96,radiomics-3d,original_glszm_ZoneEntropy,good
0.9400364458179093,0.92,0.95,0.9557179775243924,0.95,0.96,radiomics-3d,original_glszm_ZonePercentage,excellent
0.9191607575287027,0.91,0.93,0.9234674079123361,0.91,0.93,radiomics-3d,original_glszm_ZoneVariance,excellent
0.8294331626539436,0.81,0.85,0.8311896892007965,0.81,0.85,radiomics-3d,original_ngtdm_Busyness,good
0.6536183487127947,0.59,0.71,0.7048091150734681,0.67,0.74,radiomics-3d,original_ngtdm_Coarseness,moderate
0.9593603066943289,0.95,0.97,0.9636545352191859,0.96,0.97,radiomics-3d,original_ngtdm_Complexity,excellent
0.7667091296470889,0.74,0.8,0.7708187963681077,0.74,0.8,radiomics-3d,original_ngtdm_Contrast,good
0.8388581110032015,0.82,0.86,0.842605495830693,0.82,0.86,radiomics-3d,original_ngtdm_Strength,good
0.7324733882405644,0.69,0.77,0.7603809083905554,0.73,0.79,radiomics-2d,original_shape2D_Elongation,moderate
0.9406566307004302,0.9,0.96,0.9702384853596555,0.97,0.97,radiomics-2d,original_shape2D_MajorAxisLength,excellent
0.9420286092074835,0.91,0.96,0.9686806023628088,0.96,0.97,radiomics-2d,original_shape2D_MaximumDiameter,excellent
0.917851906582078,0.86,0.95,0.9581408599274529,0.95,0.96,radiomics-2d,original_shape2D_MeshSurface,excellent
0.9189961730439966,0.84,0.95,0.9745204730418202,0.97,0.98,radiomics-2d,original_shape2D_MinorAxisLength,excellent
0.9315457525023184,0.9,0.95,0.9571363027035018,0.95,0.96,radiomics-2d,original_shape2D_Perimeter,excellent
0.8085359825227378,0.7,0.87,0.8994192506873648,0.88,0.91,radiomics-2d,original_shape2D_PerimeterSurfaceRatio,good
0.9179184497566446,0.86,0.95,0.9581841529690271,0.95,0.96,radiomics-2d,original_shape2D_PixelSurface,excellent
0.7493112392887289,0.71,0.78,0.7738525177883593,0.75,0.8,radiomics-2d,original_shape2D_Sphericity,moderate
0.9830348696316893,0.98,0.99,0.9834289906844192,0.98,0.99,radiomics-2d,original_firstorder_10Percentile,excellent
0.977255058647441,0.97,0.98,0.9780482697293537,0.97,0.98,radiomics-2d,original_firstorder_90Percentile,excellent
0.9322963124619905,0.91,0.95,0.9475231434463377,0.94,0.96,radiomics-2d,original_firstorder_Energy,excellent
0.9512920721258175,0.94,0.96,0.961453643550701,0.96,0.97,radiomics-2d,original_firstorder_Entropy,excellent
0.9171093218989697,0.9,0.93,0.9192896218711567,0.91,0.93,radiomics-2d,original_firstorder_InterquartileRange,excellent
0.7326936221568651,0.7,0.76,0.7330777744214981,0.7,0.76,radiomics-2d,original_firstorder_Kurtosis,moderate
0.9464234220540304,0.94,0.95,0.9508012429420771,0.94,0.96,radiomics-2d,original_firstorder_Maximum,excellent
0.9454213493901223,0.94,0.95,0.9498358980432605,0.94,0.96,radiomics-2d,original_firstorder_MeanAbsoluteDeviation,excellent
0.9934426698654127,0.99,0.99,0.9934345153025871,0.99,0.99,radiomics-2d,original_firstorder_Mean,excellent
0.9869946573614411,0.98,0.99,0.9870080664781268,0.98,0.99,radiomics-2d,original_firstorder_Median,excellent
0.9775933631070549,0.97,0.98,0.9783281706546547,0.97,0.98,radiomics-2d,original_firstorder_Minimum,excellent
0.9265016567979453,0.91,0.94,0.9344078001313976,0.92,0.94,radiomics-2d,original_firstorder_Range,excellent
0.9394342218304294,0.93,0.95,0.9425197422548761,0.93,0.95,radiomics-2d,original_firstorder_RobustMeanAbsoluteDeviation,excellent
0.9924252655910334,0.99,0.99,0.9924755110716938,0.99,0.99,radiomics-2d,original_firstorder_RootMeanSquared,excellent
0.8061321261346919,0.78,0.83,0.8082312350979464,0.78,0.83,radiomics-2d,original_firstorder_Skewness,good
0.9409946094231667,0.92,0.95,0.9535358348872366,0.95,0.96,radiomics-2d,original_firstorder_TotalEnergy,excellent
0.9398839569816644,0.93,0.95,0.9465068200788525,0.94,0.95,radiomics-2d,original_firstorder_Uniformity,excellent
0.9327567194799052,0.92,0.94,0.9363545183809926,0.93,0.95,radiomics-2d,original_firstorder_Variance,excellent
0.9203492933939202,0.91,0.93,0.9218098375107758,0.91,0.93,radiomics-2d,original_glcm_Autocorrelation,excellent
0.8033859793633299,0.78,0.83,0.8064705003686004,0.78,0.83,radiomics-2d,original_glcm_ClusterProminence,good
0.7983554005346414,0.77,0.82,0.7988432553364968,0.77,0.82,radiomics-2d,original_glcm_ClusterShade,good
0.9306838651973514,0.92,0.94,0.9355570793438222,0.93,0.94,radiomics-2d,original_glcm_ClusterTendency,excellent
0.9138795115472144,0.9,0.93,0.9137983964000321,0.9,0.93,radiomics-2d,original_glcm_Contrast,excellent
0.88774366355782,0.86,0.91,0.905799420929808,0.89,0.92,radiomics-2d,original_glcm_Correlation,good
0.9510598465475532,0.94,0.96,0.9509658143146793,0.94,0.96,radiomics-2d,original_glcm_DifferenceAverage,excellent
0.9529566971494734,0.94,0.96,0.9595047119498906,0.95,0.97,radiomics-2d,original_glcm_DifferenceEntropy,excellent
0.8889102615346779,0.87,0.9,0.8892226356099034,0.87,0.9,radiomics-2d,original_glcm_DifferenceVariance,good
0.9612051675137885,0.96,0.97,0.9611812229738192,0.96,0.97,radiomics-2d,original_glcm_Id,excellent
0.9613338398680933,0.96,0.97,0.9613133547913171,0.96,0.97,radiomics-2d,original_glcm_Idm,excellent
0.7966031534914958,0.76,0.83,0.8279826358371667,0.8,0.85,radiomics-2d,original_glcm_Idmn,good
0.8539438059140718,0.82,0.88,0.8808201414415666,0.86,0.9,radiomics-2d,original_glcm_Idn,good
0.8919849355875014,0.88,0.91,0.8972151777707884,0.88,0.91,radiomics-2d,original_glcm_Imc1,good
0.9046888889049527,0.89,0.92,0.9052491082062274,0.89,0.92,radiomics-2d,original_glcm_Imc2,excellent
0.914277937201769,0.9,0.93,0.9142615162234414,0.9,0.93,radiomics-2d,original_glcm_InverseVariance,excellent
0.9256080240170025,0.91,0.94,0.9280975572300191,0.92,0.94,radiomics-2d,original_glcm_JointAverage,excellent
0.9288002194102957,0.91,0.94,0.937578712204147,0.93,0.95,radiomics-2d,original_glcm_JointEnergy,excellent
0.9399254859194013,0.91,0.96,0.9629089530738472,0.96,0.97,radiomics-2d,original_glcm_JointEntropy,excellent
