paradigm,feature_name,icc3_1,icc3_1_ci_lo,icc3_1_ci_hi,stratum_from_icc2_1
radiomics-3d,original_glszm_ZoneEntropy,0.9509573559660002,0.94,0.96,good
radiomics-3d,original_glszm_ZonePercentage,0.9557179775243924,0.95,0.96,excellent
radiomics-3d,original_glszm_ZoneVariance,0.923467407912336,0.91,0.93,excellent
radiomics-3d,original_ngtdm_Busyness,0.8311896892007965,0.81,0.85,good
radiomics-3d,original_ngtdm_Coarseness,0.7048091150734681,0.67,0.74,moderate
radiomics-3d,original_ngtdm_Complexity,0.963654535219186,0.96,0.97,excellent
radiomics-3d,original_ngtdm_Contrast,0.7708187963681077,0.74,0.8,good
radiomics-3d,original_ngtdm_Strength,0.842605495830693,0.82,0.86,good
radiomics-2d,original_shape2D_Elongation,0.7603809083905554,0.73,0.79,moderate
radiomics-2d,original_shape2D_MajorAxisLength,0.9702384853596556,0.97,0.97,excellent
radiomics-2d,original_shape2D_MaximumDiameter,0.9686806023628088,0.96,0.97,excellent
radiomics-2d,original_shape2D_MeshSurface,0.9581408599274528,0.95,0.96,excellent
radiomics-2d,original_shape2D_MinorAxisLength,0.9745204730418202,0.97,0.98,excellent
radiomics-2d,original_shape2D_Perimeter,0.9571363027035018,0.95,0.96,excellent
radiomics-2d,original_shape2D_PerimeterSurfaceRatio,0.8994192506873648,0.88,0.91,good
radiomics-2d,original_shape2D_PixelSurface,0.9581841529690271,0.95,0.96,excellent
radiomics-2d,original_shape2D_Sphericity,0.7738525177883593,0.75,0.8,moderate
radiomics-2d,original_firstorder_10Percentile,0.9834289906844192,0.98,0.99,excellent
radiomics-2d,original_firstorder_90Percentile,0.9780482697293535,0.97,0.98,excellent
radiomics-2d,original_firstorder_Energy,0.9475231434463376,0.94,0.96,excellent
radiomics-2d,original_firstorder_Entropy,0.961453643550701,0.96,0.97,excellent
radiomics-2d,original_firstorder_InterquartileRange,0.9192896218711568,0.91,0.93,excellent
radiomics-2d,original_firstorder_Kurtosis,0.7330777744214981,0.7,0.76,moderate
radiomics-2d,original_firstorder_Maximum,0.9508012429420772,0.94,0.96,excellent
radiomics-2d,original_firstorder_MeanAbsoluteDeviation,0.9498358980432604,0.94,0.96,excellent
radiomics-2d,original_firstorder_Mean,0.9934345153025872,0.99,0.99,excellent
radiomics-2d,original_firstorder_Median,0.9870080664781268,0.98,0.99,excellent
radiomics-2d,original_firstorder_Minimum,0.9783281706546548,0.97,0.98,excellent
radiomics-2d,original_firstorder_Range,0.9344078001313976,0.92,0.94,excellent
radiomics-2d,original_firstorder_RobustMeanAbsoluteDeviation,0.942519742254876,0.93,0.95,excellent
radiomics-2d,original_firstorder_RootMeanSquared,0.9924755110716938,0.99,0.99,excellent
radiomics-2d,original_firstorder_Skewness,0.8082312350979464,0.78,0.83,good
radiomics-2d,original_firstorder_TotalEnergy,0.9535358348872366,0.95,0.96,excellent
radiomics-2d,original_firstorder_Uniformity,0.9465068200788525,0.94,0.95,excellent
radiomics-2d,original_firstorder_Variance,0.9363545183809926,0.93,0.95,excellent
radiomics-2d,original_glcm_Autocorrelation,0.9218098375107758,0.91,0.93,excellent
radiomics-2d,original_glcm_ClusterProminence,0.8064705003686004,0.78,0.83,good
radiomics-2d,original_glcm_ClusterShade,0.7988432553364968,0.77,0.82,good
radiomics-2d,original_glcm_ClusterTendency,0.9355570793438222,0.93,0.94,excellent
radiomics-2d,original_glcm_Contrast,0.913798396400032,0.9,0.93,excellent
radiomics-2d,original_glcm_Correlation,0.905799420929808,0.89,0.92,good
radiomics-2d,original_glcm_DifferenceAverage,0.9509658143146792,0.94,0.96,excellent
radiomics-2d,original_glcm_DifferenceEntropy,0.9595047119498906,0.95,0.97,excellent
radiomics-2d,original_glcm_DifferenceVariance,0.8892226356099034,0.87,0.9,good
radiomics-2d,original_glcm_Id,0.9611812229738192,0.96,0.97,excellent
radiomics-2d,original_glcm_Idm,0.9613133547913172,0.96,0.97,excellent
radiomics-2d,original_glcm_Idmn,0.8279826358371667,0.8,0.85,good
radiomics-2d,original_glcm_Idn,0.8808201414415666,0.86,0.9,good
radiomics-2d,original_glcm_Imc1,0.8972151777707884,0.88,0.91,good
radiomics-2d,original_glcm_Imc2,0.9052491082062274,0.89,0.92,excellent
radiomics-2d,original_glcm_InverseVariance,0.9142615162234414,0.9,0.93,excellent
radiomics-2d,original_glcm_JointAverage,0.9280975572300192,0.92,0.94,excellent
radiomics-2d,original_glcm_JointEnergy,0.937578712204147,0.93,0.95,excellent
radiomics-2d,original_glcm_JointEntropy,0.9629089530738472,0.96,0.97,excellent
radiomics-2d,original_glcm_MCC,0.8512779775612752,0.83,0.87,good
radiomics-2d,original_glcm_MaximumProbability,0.9264403402392593,0.92,0.94,excellent
radiomics-2d,original_glcm_SumAverage,0.9280975572300192,0.92,0.94,excellent
radiomics-2d,original_glcm_SumEntropy,0.9566350857361778,0.95,0.96,excellent
radiomics-2d,original_glcm_SumSquares,0.9378953246328574,0.93,0.95,excellent
radiomics-2d,original_gldm_DependenceEntropy,0.9466681858371838,0.94,0.95,excellent
radiomics-2d,original_gldm_DependenceNonUniformity,0.9518512255600624,0.94,0.96,excellent
radiomics-2d,original_gldm_DependenceNonUniformityNormalized,0.8990801874160139,0.88,0.91,good
radiomics-2d,original_gldm_DependenceVariance,0.8991433226976304,0.88,0.91,good
radiomics-2d,original_gldm_GrayLevelNonUniformity,0.9595643327067545,0.95,0.97,excellent
radiomics-2d,original_gldm_GrayLevelVariance,0.9364599917161862,0.93,0.95,excellent
radiomics-2d,original_gldm_HighGrayLevelEmphasis,0.9243026178221024,0.91,0.93,excellent
radiomics-2d,original_gldm_LargeDependenceEmphasis,0.9551814419567624,0.95,0.96,excellent
radiomics-2d,original_gldm_LargeDependenceHighGrayLevelEmphasis,0.926031748636332,0.91,0.94,excellent
radiomics-2d,original_gldm_LargeDependenceLowGrayLevelEmphasis,0.767390275480148,0.74,0.8,good
radiomics-2d,original_gldm_LowGrayLevelEmphasis,0.7848954145268796,0.76,0.81,good
radiomics-2d,original_gldm_SmallDependenceEmphasis,0.9372098437471138,0.93,0.95,excellent
radiomics-2d,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.9229905342773592,0.91,0.93,excellent
radiomics-2d,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.7636048093218982,0.73,0.79,moderate
radiomics-2d,original_glrlm_GrayLevelNonUniformity,0.9620842770564364,0.96,0.97,excellent
radiomics-2d,original_glrlm_GrayLevelNonUniformityNormalized,0.9426182185641212,0.93,0.95,excellent
radiomics-2d,original_glrlm_GrayLevelVariance,0.933418347270036,0.92,0.94,excellent
radiomics-2d,original_glrlm_HighGrayLevelRunEmphasis,0.9251522765688024,0.91,0.94,excellent
radiomics-2d,original_glrlm_LongRunEmphasis,0.9575404119628768,0.95,0.96,excellent
